Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
RB1,,90,86,1004,8.60%,Yes
MDC1,,18,12,837,1.40%,Yes
TRRAP,,7,7,167,4.20%,Yes
ARAF,,9,8,1004,0.80%,Yes
BACH1,,1,1,167,0.60%,No
PREX2,,6,6,252,2.40%,Yes
SOX17,,10,10,837,1.20%,Yes
AKT2,,11,10,1004,1.00%,Yes
MYC,,11,10,1004,1.00%,Yes
AKT3,,5,4,1004,0.40%,Yes
AKT1,,5,5,1004,0.50%,Yes
DAXX,,17,13,1004,1.30%,Yes
PRKCI,,2,2,252,0.80%,Yes
MEF2B,,6,4,1004,0.40%,Yes
DICER1,,21,16,882,1.80%,Yes
NUP93,,16,14,879,1.60%,Yes
AR,,13,12,1004,1.20%,Yes
PRKAR1A,,5,5,1004,0.50%,Yes
PRKD1,,6,3,207,1.40%,Yes
PRKDC,,8,6,167,3.60%,Yes
PRDM14,,2,2,207,1.00%,Yes
GATA3,,8,8,1004,0.80%,Yes
BCL10,,2,2,712,0.30%,Yes
GATA2,,10,10,1004,1.00%,Yes
GATA1,,10,8,1004,0.80%,Yes
GRIN2A,,37,26,1004,2.60%,Yes
TERT,,623,604,882,68.50%,Yes
NTHL1,,1,1,207,0.50%,Yes
RAD21,,8,7,712,1.00%,Yes
PLCG2,,29,22,757,2.90%,Yes
NKX2-1,,5,5,1004,0.50%,Yes
BARD1,,12,10,1004,1.00%,Yes
LYN,,3,3,252,1.20%,Yes
CREBBP,,51,32,1004,3.20%,Yes
JUN,,2,2,1004,0.20%,Yes
TIPARP,,1,1,167,0.60%,Yes
PLK2,,10,10,837,1.20%,Yes
BRAF,,41,41,1004,4.10%,Yes
H1-2,,4,4,837,0.50%,Yes
CYLD,,3,3,252,1.20%,Yes
FAT1,,65,48,882,5.40%,Yes
REL,,11,9,1004,0.90%,Yes
FAT3,,9,4,167,2.40%,No
CDK12,,17,14,1004,1.40%,Yes
EZH1,,1,1,207,0.50%,Yes
EZH2,,10,9,1004,0.90%,Yes
RET,,12,9,1004,0.90%,Yes
CDKN1A,,4,4,882,0.50%,Yes
SETD2,,64,54,1004,5.40%,Yes
CDKN1B,,4,4,1004,0.40%,Yes
CTCF,,10,9,1004,0.90%,Yes
GLI1,,17,12,757,1.60%,Yes
BBC3,,4,3,837,0.40%,Yes
MED12,,41,34,1004,3.40%,Yes
NUF2,,1,1,207,0.50%,Yes
CTLA4,,3,3,837,0.40%,Yes
JAK2,,10,9,1004,0.90%,Yes
CIC,,185,128,1004,12.70%,Yes
JAK3,,21,17,1004,1.70%,Yes
IKBKE,,11,10,1004,1.00%,Yes
JAK1,,24,15,1004,1.50%,Yes
DUSP4,,1,1,207,0.50%,Yes
UPF1,,3,2,207,1.00%,Yes
IFNGR1,,4,4,837,0.50%,Yes
TET2,,35,28,1004,2.80%,Yes
RRAS2,,1,1,207,0.50%,Yes
TET1,,17,14,837,1.70%,Yes
PAX5,,4,4,1004,0.40%,Yes
NCOR1,,36,23,1004,2.30%,Yes
SDHAF2,,2,2,837,0.20%,Yes
RARA,,7,7,1004,0.70%,Yes
PPARG,,1,1,252,0.40%,Yes
FH,,6,6,882,0.70%,Yes
GPS2,,2,2,712,0.30%,Yes
CENPA,,3,3,712,0.40%,Yes
EGFR,,197,146,1004,14.50%,Yes
RECQL4,,15,11,837,1.30%,Yes
NSD3,,3,3,207,1.40%,Yes
ARFRP1,,1,1,167,0.60%,Yes
NRAS,,6,6,1004,0.60%,Yes
EPCAM,,8,8,837,1.00%,Yes
H3C11,,1,1,712,0.10%,Yes
