UMAP1,UMAP2,Cluster
10.148118,0.34913215,0
10.671778,9.057089,2
10.838487,8.62778,2
8.722526,7.064822,8
11.256579,8.306481,2
11.264281,5.3258085,7
7.9138665,7.897936,1
12.305878,7.197562,5
12.226734,6.1117783,5
8.176679,7.9352565,1
6.1431923,8.0524435,9
10.375074,7.325186,2
11.454935,6.09965,5
9.228525,5.3066487,6
5.283655,6.879674,9
5.1334624,7.4304276,9
10.743567,7.8683977,2
6.445991,8.764331,9
10.201742,6.1488423,6
8.039638,7.5184875,1
10.68605,4.489184,7
8.030843,6.3309693,8
5.761244,7.3484273,9
11.133611,6.928136,5
6.1196957,8.328458,9
7.8280325,2.9248583,3
7.801286,2.7827077,3
8.088037,8.342666,1
10.32152,3.603227,7
5.5261936,6.5501614,9
7.0255103,6.807324,8
5.146004,6.3360243,4
4.206893,6.6833262,4
12.2443695,7.3269,5
11.201788,5.4707527,5
10.843618,5.4219522,7
5.9652133,6.8033185,9
7.1150346,4.0481076,3
7.288133,8.6247635,1
5.590029,6.5662527,9
10.088173,4.329403,7
10.1376095,7.5336556,2
11.187149,7.66099,2
7.8600726,8.497492,1
7.1393824,6.740001,8
3.782155,7.071791,4
8.098784,6.8479466,8
7.591826,2.6451375,3
10.184488,6.2541575,6
6.746863,4.5006046,3
8.6743145,6.900807,8
11.971003,6.8116126,5
9.132218,5.911465,6
9.912524,3.891143,7
8.099997,7.6467886,1
8.040973,2.6781237,3
10.746555,9.050668,2
11.270845,0.674409,0
9.182199,9.004783,2
11.0943575,0.96757644,0
5.9006867,8.680643,9
7.0983844,4.432895,3
10.20476,8.073138,2
5.7608447,8.561879,9
11.14635,6.9873757,5
4.0723968,6.6358085,4
5.193503,7.9482594,9
6.3128934,8.7713375,9
10.497466,1.0296717,0
5.1599526,7.2965093,9
9.850418,5.59995,6
3.8322527,6.7885346,4
9.974382,4.1021886,7
7.8288436,3.1631618,3
5.4337893,6.815553,9
3.98369,6.7929893,4
10.51336,7.318233,2
10.011318,4.2527895,7
9.8222885,7.7800274,2
4.539658,6.940797,4
11.846743,7.2351036,5
6.7968216,4.3262362,3
9.930409,6.227704,6
7.9552407,6.4558034,8
7.2098193,6.6203747,8
6.802845,4.3243594,3
6.1385307,7.9853387,9
8.285131,8.105516,1
7.4305797,6.7855673,8
9.989819,3.8903766,7
12.20099,6.1950984,5
4.9854226,8.325711,9
11.204047,6.5392265,5
6.7326584,4.380508,3
4.252463,7.391975,4
7.7451663,8.5449505,1
7.5182285,8.59018,1
4.1626844,7.6260195,4
9.193569,6.9176283,6
6.6778474,4.2251863,3
10.407635,0.3887481,0
4.276377,6.688375,4
3.8387387,7.2293625,4
9.430448,6.721665,6
7.8334575,2.7192073,3
9.486424,7.052529,6
8.053848,2.61882,3
9.060901,6.154465,6
5.4568796,8.249171,9
8.40905,5.796677,8
9.768807,4.2899885,7
10.877611,5.2103076,7
10.672449,8.9345,2
10.02912,0.44216013,0
6.9906507,6.741361,8
10.936621,5.3368244,7
10.334926,8.797392,2
10.424524,6.455202,6
11.149324,1.0947529,0
8.697716,6.0388937,6
8.017053,7.9526715,1
11.627406,7.7489076,5
5.132365,8.262075,9
11.924971,7.1620593,5
6.655154,4.523655,3
7.346372,3.924817,3
10.554089,1.1154523,0
9.337125,7.8263493,2
5.886157,8.756136,9
8.337493,6.8110614,8
7.57257,3.617015,3
7.756805,3.744777,3
7.3347154,3.583895,3
7.736611,7.164802,8
8.885794,6.7683554,6
8.061448,2.5784485,3
7.854393,3.7426589,3
12.783559,6.0856977,5
12.165158,6.3891435,5
11.318126,7.6617894,2
10.289974,8.89499,2
9.715409,0.6778207,0
7.8667297,2.7614439,3
4.5710087,6.8443227,4
8.010324,8.013345,1
11.149488,0.8873883,0
8.307205,8.058861,1
5.016813,7.360774,9
7.6125174,7.0054054,8
11.808397,6.839459,5
4.225452,7.248546,4
7.761376,6.1187177,8
8.878592,5.900478,6
11.25804,6.447157,5
7.548863,8.722148,1
10.598453,7.8753967,2
8.135368,6.5684,8
11.720935,6.179466,5
7.4115276,4.9942017,3
10.486316,3.440219,7
5.9072933,6.309989,9
7.810403,7.6900764,1
8.042697,8.634275,1
8.07778,7.983029,1
11.9875345,5.3719583,5
10.183226,8.831156,2
6.382085,8.744673,9
12.990835,6.108757,5
8.114187,7.8846836,1
10.13585,3.98377,7
9.902565,7.8219624,2
10.355451,5.1139064,7
8.036723,6.8480873,8
7.779423,7.2352023,8
7.62694,3.5787623,3
10.615957,7.028661,2
10.964842,5.239449,7
3.7420046,7.282483,4
11.816572,5.4000225,5
8.897766,5.645764,6
10.761708,0.57731444,0
3.8833559,6.703303,4
8.945545,5.30759,6
12.463845,5.8203154,5
4.5089903,7.0536857,4
7.070399,5.015864,3
10.801762,5.374778,7
5.077593,7.4509625,9
10.631427,0.64113337,0
9.856576,0.5675944,0
5.6973357,6.4725056,9
12.047738,6.8622866,5
8.346177,4.1805716,3
7.6332984,6.358853,8
5.603481,6.6110187,9
12.899491,6.246685,5
11.501003,6.7623405,5
10.664347,4.30903,7
10.620505,7.106476,2
8.190296,6.5613475,8
6.9229636,6.6716676,8
12.345699,7.2819595,5
11.190465,0.87037,0
9.801752,7.0933275,6
11.019808,6.5336733,5
4.0857406,6.66912,4
10.693692,0.19335626,0
8.451185,6.166042,8
7.1378202,6.7067575,8
4.646743,6.8584504,4
10.073006,8.951191,2
6.879841,4.7141466,3
5.701345,8.670403,9
6.703543,4.2681913,3
10.606355,4.496224,7
4.967726,8.184062,9
9.575125,7.9058146,2
9.362996,6.049406,6
6.149545,8.843533,9
8.780389,6.16038,6
12.972298,6.2101903,5
9.013868,6.326715,6
9.0088825,5.5374846,6
10.563896,6.858082,6
11.561319,6.128628,5
5.104757,7.379643,9
5.669313,6.483513,9
8.325057,6.648935,8
9.90571,7.2484307,2
9.395937,7.973634,2
11.523667,6.1119294,5
