Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		7	7	340	2.10%	Yes
CCNK		1	1	340	0.30%	No
SMARCB1		1	1	340	0.30%	Yes
CCNJ		1	1	340	0.30%	No
DNHD1		1	1	340	0.30%	No
JMJD1C		2	2	340	0.60%	No
STMN4		3	3	340	0.90%	No
IKZF2		2	2	340	0.60%	Yes
IKZF3		1	1	340	0.30%	Yes
IKZF4		1	1	340	0.30%	No
RXFP2		3	3	340	0.90%	No
EPS8		2	2	340	0.60%	No
RPS6KA4		1	1	340	0.30%	Yes
RPS6KA6		2	2	340	0.60%	No
SOX1		1	1	340	0.30%	No
MYC		1	1	340	0.30%	Yes
SOX15		1	1	340	0.30%	No
CREB3L1		1	1	340	0.30%	Yes
CHEK1		1	1	340	0.30%	Yes
KDR		1	1	340	0.30%	Yes
SOX8		1	1	340	0.30%	No
SOX9		2	2	340	0.60%	Yes
DIP2C		1	1	340	0.30%	No
EPHB3		3	3	340	0.90%	No
SOX5		1	1	340	0.30%	No
ACVR1		39	39	340	11.50%	Yes
DAXX		1	1	340	0.30%	Yes
SOX13		2	2	340	0.60%	No
LGALS14		1	1	340	0.30%	No
DICER1		1	1	340	0.30%	Yes
SOX10		5	5	340	1.50%	Yes
ATG12		3	3	340	0.90%	No
GABRG1		1	1	340	0.30%	No
BCR		3	3	340	0.90%	Yes
TFR2		4	4	340	1.20%	No
CLPP		1	1	340	0.30%	No
HECW1		3	3	340	0.90%	No
ULK2		3	3	340	0.90%	No
ATF5		3	3	340	0.90%	No
BCORL1		3	3	340	0.90%	Yes
TP53		174	174	340	51.20%	Yes
HOXB6		2	2	340	0.60%	No
SRCAP		6	6	340	1.80%	No
PIK3R3		1	1	340	0.30%	Yes
KLK3		1	1	340	0.30%	No
PIK3R1		20	20	340	5.90%	Yes
PIK3R6		1	1	340	0.30%	No
PIK3R5		1	1	340	0.30%	No
BRIP1		2	2	340	0.60%	Yes
RAB11FIP1		3	3	340	0.90%	No
TP53BP2		2	2	340	0.60%	No
SFN		1	1	340	0.30%	No
H3C3		2	2	340	0.60%	Yes
H3C2		34	34	340	10.00%	Yes
APOBEC3D		1	1	340	0.30%	No
DMPK		1	1	340	0.30%	No
SETD1B		5	5	340	1.50%	Yes
SETD1A		4	4	340	1.20%	Yes
SMARCA5		1	1	340	0.30%	No
BRAF		12	12	340	3.50%	Yes
SMARCA1		1	1	340	0.30%	Yes
PUM1		3	3	340	0.90%	Yes
SMARCA2		2	2	340	0.60%	Yes
SMARCA4		3	3	340	0.90%	Yes
SOX30		1	1	340	0.30%	No
PARP10		3	3	340	0.90%	No
STAG2		3	3	340	0.90%	Yes
STAG3		3	3	340	0.90%	No
WNK2		2	2	340	0.60%	No
WNK3		2	2	340	0.60%	No
ATM		8	8	340	2.40%	Yes
CDK12		1	1	340	0.30%	Yes
CC2D1A		3	3	340	0.90%	No
ATR		1	1	340	0.30%	Yes
CDK16		1	1	340	0.30%	No
CDKN1C		2	2	340	0.60%	No
GABRB3		1	1	340	0.30%	No
RET		1	1	340	0.30%	Yes
PTPRT		3	3	340	0.90%	Yes
GABRB2		2	2	340	0.60%	No
SETD5		1	1	340	0.30%	Yes
SETD2		9	9	340	2.60%	Yes
CDKN1B		2	2	340	0.60%	Yes
SUV39H1		1	1	340	0.30%	No
IDE		1	1	340	0.30%	No
BRCA2		3	3	340	0.90%	Yes
GLI3		1	1	340	0.30%	No
PTPRF		4	4	340	1.20%	No
GLI2		2	2	340	0.60%	No
RPTOR		2	2	340	0.60%	Yes
IFIH1		3	3	340	0.90%	No
GABRR2		1	1	340	0.30%	No
CHAF1A		2	2	340	0.60%	No
KCNT1		1	1	340	0.30%	No
ENC1		4	4	340	1.20%	No
RACK1		3	3	340	0.90%	No
CIC		2	2	340	0.60%	Yes
H3-3A		163	163	340	47.90%	Yes
TEAD2		5	5	340	1.50%	No
TOP3A		1	1	340	0.30%	No
AMPD1		1	1	340	0.30%	No
IZUMO1R		1	1	340	0.30%	No
WNT9A		2	2	340	0.60%	No
RAD51D		1	1	340	0.30%	Yes
RAD51C		1	1	340	0.30%	Yes
KIT		1	1	340	0.30%	Yes
PXDN		3	3	340	0.90%	No
TLR7		3	3	340	0.90%	No
DEPDC5		4	4	340	1.20%	No
AMER1		3	3	340	0.90%	Yes
SP100		1	1	340	0.30%	No
SF3B2		3	3	340	0.90%	Yes
WDR25		1	1	340	0.30%	No
SF3B3		2	2	340	0.60%	No
PLPPR3		1	1	340	0.30%	No
DOT1L		1	1	340	0.30%	Yes
WNT8A		2	2	340	0.60%	No
WDR20		3	3	340	0.90%	No
ADCY1		4	4	340	1.20%	No
CENPB		3	3	340	0.90%	No
EGFR		11	11	340	3.20%	Yes
NRAS		1	1	340	0.30%	Yes
CXCR1		2	2	340	0.60%	No
CNPY4		3	3	340	0.90%	No
H3C14		1	1	340	0.30%	Yes
PLAGL1		1	1	340	0.30%	No
ABI3BP		2	2	340	0.60%	No
NSD1		3	3	340	0.90%	Yes
CTNNA3		2	2	340	0.60%	No
GABRE		2	2	340	0.60%	No
SF3B1		1	1	340	0.30%	Yes
PAK5		3	3	340	0.90%	Yes
MAP4K4		2	2	340	0.60%	Yes
BRD4		2	2	340	0.60%	Yes
GABRA2		1	1	340	0.30%	No
SF3A3		1	1	340	0.30%	No
GABRP		3	3	340	0.90%	No
GABBR1		2	2	340	0.60%	No
SF3A1		1	1	340	0.30%	No
CDKN2C		5	5	340	1.50%	Yes
MAP3K1		1	1	340	0.30%	Yes
SF3A2		2	2	340	0.60%	No
GABRA6		2	2	340	0.60%	Yes
CDKN2A		2	2	340	0.60%	Yes
WNT7B		1	1	340	0.30%	No
HUWE1		3	3	340	0.90%	No
SYVN1		3	3	340	0.90%	No
BMP8A		1	1	340	0.30%	No
SORBS2		4	4	340	1.20%	No
GRHL1		2	2	340	0.60%	No
HIPK1		2	2	340	0.60%	No
SCAF1		3	3	340	0.90%	No
AXL		2	2	340	0.60%	Yes
PRKRA		3	3	340	0.90%	No
QPCT		1	1	340	0.30%	No
SHKBP1		3	3	340	0.90%	No
PRAG1		4	4	340	1.20%	No
FHOD1		3	3	340	0.90%	No
CLSTN1		1	1	340	0.30%	No
ATN1		5	5	340	1.50%	No
CRAMP1		3	3	340	0.90%	No
HDDC3		1	1	340	0.30%	No
IGF1R		1	1	340	0.30%	Yes
GRAP2		1	1	340	0.30%	No
SALL4		3	3	340	0.90%	Yes
EP300		2	2	340	0.60%	Yes
MAP3K9		1	1	340	0.30%	No
MAP3K6		1	1	340	0.30%	Yes
ROS1		2	2	340	0.60%	Yes
MAP3K4		2	2	340	0.60%	No
MAP3K5		1	1	340	0.30%	No
MEN1		1	1	340	0.30%	Yes
SH3GLB1		1	1	340	0.30%	No
PDGFRA		28	28	340	8.20%	Yes
KDM2A		1	1	340	0.30%	No
