Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		90	86	1004	8.6%	Yes
MDC1		18	12	837	1.4%	Yes
TRRAP		7	7	167	4.2%	Yes
ARAF		9	8	1004	0.8%	Yes
BACH1		1	1	167	0.6%	No
PREX2		6	6	252	2.4%	Yes
SOX17		10	10	837	1.2%	Yes
AKT2		11	10	1004	1.0%	Yes
MYC		11	10	1004	1.0%	Yes
AKT3		5	4	1004	0.4%	Yes
AKT1		5	5	1004	0.5%	Yes
DAXX		17	13	1004	1.3%	Yes
PRKCI		2	2	252	0.8%	Yes
MEF2B		6	4	1004	0.4%	Yes
DICER1		21	16	882	1.8%	Yes
NUP93		16	14	879	1.6%	Yes
AR		13	12	1004	1.2%	Yes
PRKAR1A		5	5	1004	0.5%	Yes
PRKD1		6	3	207	1.4%	Yes
PRKDC		8	6	167	3.6%	Yes
PRDM14		2	2	207	1.0%	Yes
GATA3		8	8	1004	0.8%	Yes
BCL10		2	2	712	0.3%	Yes
GATA2		10	10	1004	1.0%	Yes
GATA1		10	8	1004	0.8%	Yes
GRIN2A		37	26	1004	2.6%	Yes
TERT		623	604	882	68.5%	Yes
NTHL1		1	1	207	0.5%	Yes
RAD21		8	7	712	1.0%	Yes
PLCG2		29	22	757	2.9%	Yes
NKX2-1		5	5	1004	0.5%	Yes
BARD1		12	10	1004	1.0%	Yes
LYN		3	3	252	1.2%	Yes
CREBBP		51	32	1004	3.2%	Yes
JUN		2	2	1004	0.2%	Yes
TIPARP		1	1	167	0.6%	Yes
PLK2		10	10	837	1.2%	Yes
BRAF		41	41	1004	4.1%	Yes
H1-2		4	4	837	0.5%	Yes
CYLD		3	3	252	1.2%	Yes
FAT1		65	48	882	5.4%	Yes
REL		11	9	1004	0.9%	Yes
FAT3		9	4	167	2.4%	No
CDK12		17	14	1004	1.4%	Yes
EZH1		1	1	207	0.5%	Yes
EZH2		10	9	1004	0.9%	Yes
RET		12	9	1004	0.9%	Yes
CDKN1A		4	4	882	0.5%	Yes
SETD2		64	54	1004	5.4%	Yes
CDKN1B		4	4	1004	0.4%	Yes
CTCF		10	9	1004	0.9%	Yes
GLI1		17	12	757	1.6%	Yes
BBC3		4	3	837	0.4%	Yes
MED12		41	34	1004	3.4%	Yes
NUF2		1	1	207	0.5%	Yes
CTLA4		3	3	837	0.4%	Yes
JAK2		10	9	1004	0.9%	Yes
CIC		185	128	1004	12.7%	Yes
JAK3		21	17	1004	1.7%	Yes
IKBKE		11	10	1004	1.0%	Yes
JAK1		24	15	1004	1.5%	Yes
DUSP4		1	1	207	0.5%	Yes
UPF1		3	2	207	1.0%	Yes
IFNGR1		4	4	837	0.5%	Yes
TET2		35	28	1004	2.8%	Yes
RRAS2		1	1	207	0.5%	Yes
TET1		17	14	837	1.7%	Yes
PAX5		4	4	1004	0.4%	Yes
NCOR1		36	23	1004	2.3%	Yes
SDHAF2		2	2	837	0.2%	Yes
RARA		7	7	1004	0.7%	Yes
PPARG		1	1	252	0.4%	Yes
FH		6	6	882	0.7%	Yes
GPS2		2	2	712	0.3%	Yes
CENPA		3	3	712	0.4%	Yes
EGFR		197	146	1004	14.5%	Yes
RECQL4		15	11	837	1.3%	Yes
NSD3		3	3	207	1.4%	Yes
ARFRP1		1	1	167	0.6%	Yes
NRAS		6	6	1004	0.6%	Yes
EPCAM		8	8	837	1.0%	Yes
H3C11		1	1	712	0.1%	Yes
NSD1		42	28	1004	2.8%	Yes
NSD2		1	1	207	0.5%	Yes
H3C12		3	3	712	0.4%	Yes
STAT4		4	4	167	2.4%	Yes
SPOP		7	7	1004	0.7%	Yes
PMS2		13	7	1004	0.7%	Yes
H3C10		1	1	712	0.1%	Yes
RICTOR		23	18	1004	1.8%	Yes
SF3B1		23	16	1004	1.6%	Yes
PMS1		13	7	837	0.8%	Yes
RUNX1T1		2	2	167	1.2%	Yes
BRD4		19	13	882	1.5%	Yes
CDKN2B		5	5	1004	0.5%	Yes
CDKN2C		18	18	1004	1.8%	Yes
GABRA6		1	1	45	2.2%	Yes
CRBN		1	1	167	0.6%	Yes
CDKN2A		18	18	1004	1.8%	Yes
STAT3		6	6	757	0.8%	Yes
RYBP		1	1	837	0.1%	Yes
GID4		1	1	167	0.6%	Yes
WT1		11	9	1004	0.9%	Yes
ZNF217		2	2	167	1.2%	Yes
INHA		4	3	712	0.4%	Yes
CRLF2		7	6	1004	0.6%	Yes
CSF3R		13	12	712	1.7%	Yes
MRE11		15	13	1004	1.3%	Yes
IRS1		30	20	837	2.4%	Yes
IRS2		25	19	1004	1.9%	Yes
FGF3		7	6	1004	0.6%	Yes
FGF4		3	3	1004	0.3%	Yes
FGF7		1	1	167	0.6%	Yes
